,target
546,1
432,0
174,1
221,1
289,1
147,1
462,1
192,1
116,1
513,1
249,1
472,1
39,0
346,1
517,0
510,1
28,0
142,1
253,0
369,0
40,0
416,1
183,1
533,0
349,1
243,1
347,1
0,0
37,1
413,1
520,1
521,0
69,1
322,1
213,0
141,0
352,0
558,1
400,0
281,1
79,1
557,1
489,0
466,1
5,0
191,1
436,1
99,0
222,1
264,0
441,0
62,0
81,1
19,1
159,1
377,1
103,1
197,0
216,1
208,1
248,1
387,1
72,0
485,1
145,1
522,1
265,0
437,1
98,1
414,0
229,0
364,1
74,1
2,0
21,1
80,1
178,1
454,1
547,1
366,0
259,0
171,0
156,0
262,0
109,1
113,1
22,0
563,0
425,1
82,0
539,1
129,0
345,1
177,0
271,1
525,1
398,1
210,0
420,1
214,0
455,1
105,0
68,1
351,0
175,1
285,1
195,1
272,0
124,1
403,1
89,1
30,0
181,0
536,0
71,1
299,1
529,1
94,0
25,0
530,1
278,1
88,1
189,1
239,0
143,1
435,0
370,0
362,1
339,0
419,1
50,1
137,1
277,0
402,1
545,1
65,0
136,1
15,0
97,1
481,1
18,0
482,1
342,1
274,0
334,1
538,1
325,1
138,0
305,1
54,0
476,1
424,1
350,1
122,0
119,0
154,1
241,1
35,0
410,1
55,1
302,0
465,1
111,1
367,1
190,0
238,1
6,0
172,0
451,0
250,0
294,1
282,0
47,0
448,1
207,0
458,1
151,1
169,1
505,1
442,1
59,1
471,1
313,1
232,1
552,1
78,0
90,1
447,1
255,0
531,1
135,0
144,1
157,1
395,1
389,0
114,1
286,1
215,0
7,0
245,1
280,0
153,1
323,0
443,1
457,1
11,0
155,1
224,1
61,1
125,1
107,1
544,1
148,1
270,1
96,1
297,0
330,0
484,1
503,0
532,1
226,1
511,1
327,1
554,1
360,1
34,0
391,1
252,0
373,0
48,1
163,1
338,1
43,0
324,1
477,1
384,1
45,0
490,1
379,0
478,1
376,1
179,1
306,1
258,0
449,0
407,1
355,1
315,1
84,1
392,0
430,0
551,1
469,1
42,0
186,0
396,1
404,1
66,1
36,0
512,0
100,0
463,1
438,1
166,1
4,0
515,1
311,1
276,1
386,1
304,1
502,1
218,0
8,0
382,1
38,0
450,1
31,0
162,0
117,0
309,1
170,1
234,1
27,0
333,1
233,0
29,0
209,1
134,0
301,1
149,1
534,1
317,0
152,1
506,1
185,1
565,0
91,0
562,0
236,0
240,1
348,1
422,1
193,0
314,1
52,1
371,1
390,1
268,1
320,1
514,0
480,1
10,0
383,1
58,1
110,1
380,1
101,1
196,0
188,1
133,1
409,1
393,0
508,1
126,0
118,0
160,1
130,1
374,1
290,1
497,1
211,1
165,1
219,0
470,1
201,0
332,1
401,1
123,1
67,1
132,0
120,1
381,1
446,0
212,0
429,1
388,1
418,1
479,0
326,1
279,1
32,0
500,1
53,0
146,0
115,1
92,1
161,0
164,0
75,0
357,1
86,0
319,1
93,1
173,1
405,1
131,0
492,0
293,1
556,1
524,1
498,0
561,1
254,0
318,1
26,0
329,0
475,1
287,1
459,1
273,1
550,1
33,0
426,1
555,1
76,1
260,0
108,0
494,1
312,1
303,1
440,1
220,1
365,0
412,1
566,0
559,1
187,1
57,0
17,0
336,1
427,1
560,1
486,1
12,0
453,1
44,0
63,1
49,1
456,1
3,0
46,1
341,1
543,1
337,0
225,1
444,0
16,0
87,0
139,1
548,1
491,1
411,1
460,0
372,0
182,0
331,1
56,0
493,1
473,1
176,1
263,0
9,0
283,0
106,1
202,0
378,1
394,1
421,1
112,1
13,0
244,0
335,0
356,1
251,1
397,1
227,1
368,0
60,1
499,0
487,0
184,0
300,0
509,0
230,0
474,1
